MONTAGNES,Le Mont-Blanc (triptique collage+fusain+huile 3x30x90) TM116 2014 ,116,,
MONTAGNES,Le Cervin (acryl+craie 50x70) TM76 2014,76,,
MONTAGNES,Montagne (aquarelle 24x34 ) A448 2015,A448,,
MONTAGNES,Montagne (aquarelle 24x34 ) A449 2015,A449,,
MONTAGNES,Le Bhoutan (triptyque collage+huile+fusain 3x30x90) TM118  2015 ,118,,
MONTAGNES,La Cime de l'Est (acryl 60x80) TM128  2015 ,128,,
MONTAGNES,Les Dents du Midi (acryl 60x80) TM132 2015 ,132,,
MONTAGNES,Les Chalets (encre+broudenoix+fusain 60x80) TM157 2015 ,157,,
MONTAGNES,Lapisa (aquarelle 26x36) A499 2016,A499,,
MONTAGNES,Chalets (encre de chine 50x70) TM178 2016 ,178,,
MONTAGNES,Le Tunnel (encre de chine 50x70) TM179 2016,179,,
MONTAGNES,Les Dents du Midi (collage+encre+fusain 60x90) TM180 2016,180,,
MONTAGNES,Banc de Soi (encre+fusain 50x70) TM183 2016 ,183,,
MONTAGNES,Sapins (Encre 25x25) TM318  2016 ,318,,
MONTAGNES,Montagne (collage+huile 18x18) TM187  2016 ,187,,
MONTAGNES,La Tour d'Aï  (collage+craie 23x23) TM190  2016 ,190,,
MONTAGNES,Le Petit Muveran (collage+craie 23x23) TM194 2016 ,194,,
MONTAGNES,Le Lac de Moiry (collage+craie 23x23) TM195 2016,195,,
MONTAGNES,Les Diablerets (collage 23x23) TM198 2016,198,,
MONTAGNES,Escalier sur les Dents du Midi (aquarelle 27x37) A508 2016,A508,,
MONTAGNES,Pont sur la Vièze (aquarelle 27x37) A511 2016,A511,,
MONTAGNES,Lapisa (aquarelle 27x37) A512 2016,A512,,
MONTAGNES,Etude sur les Dents du Midi (aquarelle 27x37) A513 2016,A513,,
MONTAGNES,La Cime de l'Est (aquarelle 27x37) A516 2016,A516,,
MONTAGNES,Les Dents du Midi depuis Val d'Illiez (aquarelle 27x37) A517 2016,A517,,
MONTAGNES,Saas Fee (aquarelle+fusain 35x43) A519 2016,A519,,
MONTAGNES,Zinalrothorn (collage+fusain+huile 60x80) TM218 2017,218,,
MONTAGNES,Les Dents du Midi (linoleum 15x20) TM219 2017,219,,
MONTAGNES,Montagne (collage 30x30) TM220 2017,220,,
MONTAGNES,l'Arête des Cosmiques-Mont Blanc (collage 23x23) TM221 2017,221,,
MONTAGNES,La Dent de Morcles (collage 23x23) TM228 2017,228,,
MONTAGNES,Les Dents du Midi (collage 23x23) TM236 2017,236,,
MONTAGNES,Les Dents du Midi (collage 23x23) TM227 2017,227,,
MONTAGNES,Trois des Dents du Midi (collage 60x60) TM237 2017,237,,
MONTAGNES,La Dent Blanche (collage 30x30) TM245 2017,245,,
MONTAGNES,Grimentz (linogravure 15x20) TM222 2017,222,,
MONTAGNES,Les Dents du Midi depuis Val d'Illiez (aquarelle 29x39) A541 2019,A541,,
MONTAGNES,Glacier (aquarelle 29x39 ) A542 2019,A542,,
MONTAGNES,Vallée (aquarelle 26x26) A550 2019 ,A550,,
MONTAGNES,L'Eiger (dessin stylo 20x20) 2019,_,,
MONTAGNES,Les Dents du Midi (dessin stylo 20x20) 2019,_,,
MONTAGNES,Chalets Val d'Herens (collage 40x40) TM301 2019,301,,
MONTAGNES,Lac de montagne (collage+pastel 30x30) TM348 2019,348,,
MONTAGNES,La Dent Blanche (encre de chine 40x50) TM331 2019,331,,
MONTAGNES,La Dent Blanche (collage 30x30) TM309 2019,309,VENDU,
MONTAGNES,Les Dents du Midi (collage 30x30) TM308 2019,308,,
MONTAGNES,La Cathedrale (encre de chine+gesso 40x50) TM312 2019,312,,
MONTAGNES,Les Dents du Midi (encre de chine+transfert 30x30) TM320 2019,320,,
MONTAGNES,Ivresse (encre de chine+brou de noix 30x30) TM324 2019.tif,324,VENDU,
MONTAGNES,Dolomite1 (collage+pastel 30x30) TM346 2019,346,,
MONTAGNES,Les Dents du Midi (encre de chine 40x50) TM326 2019,326,,
MONTAGNES,Les Twins-Mont Blanc (acrylique 50x50) TM328 2019,328,,
MONTAGNES,Les Doigts et la Haute Cime (encre de chine+brou de noix 50x50) TM325 2019,325,,
MONTAGNES,Le Couloir de la Dent Jaune (collage 35x80) TM327 2019,327,,
MONTAGNES,Les Diablerets (acrylique 50x70) TM304 2019,304,1350,2350
MONTAGNES,L'Eiger (acrylique 50x70) TM307 2019,307,1350,2350
MONTAGNES,Les Drus-Mont Blanc (triptyque collage+fusain 3x30x90) TM306 2019,306,3200,5600
MONTAGNES,Le Cervin (acrylique 50x70) TM305 2019,305,1350,2350
,,,,
,,,,
